id_binyan,lat,lon,height,height_source,floors,height_recorded,height_dsm,building_type,building_name,year
5,32.0543478,34.776148,10.8,recorded,1.0,10.8,5.2123017,מבנה רגיל,,1950.0
6,32.0542502,34.7763401,6.27,recorded,1.0,6.27,6.437327,מבנה רגיל,,
23,32.0567804,34.7768204,14.47,recorded,4.0,14.47,12.186549,מבנה רגיל,,1940.0
24,32.0570472,34.7786252,18.11,recorded,4.0,18.11,14.603233,מבנה רגיל,,1960.0
38,32.0568685,34.7790015,14.62,recorded,3.0,14.62,12.716951,מבנה רגיל,,1939.0
41,32.0565027,34.7781406,12.7,recorded,2.0,12.7,9.772646,מבנה רגיל,,1934.0
55,32.0572232,34.7781697,18.37,recorded,5.0,18.37,15.820806,מבנה רגיל,,1959.0
56,32.0573047,34.7780783,4.17,recorded,1.0,4.17,2.8345299,מבנה רגיל,,1939.0
73,32.0545004,34.7783984,11.25,recorded,1.0,11.25,5.3100014,מבנה רגיל,,1929.0
74,32.0546331,34.7784358,5.33,recorded,1.0,5.33,6.8261957,מבנה רגיל,,1949.0
88,32.0550446,34.7768786,11.3,recorded,3.0,11.3,9.456758,מבנה רגיל,,1949.0
91,32.0552341,34.7772653,11.98,recorded,1.0,11.98,9.948056,מבנה רגיל,,1950.0
105,32.0552198,34.7771234,4.76,recorded,1.0,4.76,5.6700826,מבנה רגיל,,1949.0
106,32.0552278,34.7788993,6.53,recorded,1.0,6.53,4.9750004,מבנה רגיל,,1952.0
123,32.05459,34.7762152,9.69,recorded,2.0,9.69,7.3785844,מבנה רגיל,,1950.0
124,32.0545279,34.7765264,7.75,recorded,1.0,7.75,5.0599995,מבנה רגיל,,1948.0
138,32.0557154,34.7776691,9.26,recorded,2.0,9.26,7.5097547,מבנה רגיל,,1949.0
141,32.0548492,34.7765437,17.11,recorded,3.0,17.11,14.511942,מבנה רגיל,,1955.0
142,32.0547696,34.7767422,12.9,recorded,3.0,12.9,9.965952,מבנה רגיל,,1971.0
155,32.0538631,34.7761918,8.5,recorded,1.0,8.5,4.901934,מבנה רגיל,,1952.0
156,32.0540252,34.7754192,10.98,recorded,1.0,10.98,10.08,מבנה רגיל,,1947.0
173,32.0541675,34.7753889,10.88,recorded,2.0,10.88,8.9,מבנה רגיל,,1950.0
174,32.0542307,34.7759224,6.21,recorded,1.0,6.21,3.9650002,מבנה רגיל,,1949.0
191,32.0524942,34.7920243,8.56,recorded,1.0,8.56,5.4350014,מבנה רגיל,,1949.0
205,32.0562374,34.788366,16.2,recorded,1.0,16.2,12.501622,מבנה רגיל,,1981.0
206,32.0544101,34.7870627,11.97,recorded,3.0,11.97,12.240818,מבנה רגיל,,1968.0
223,32.055732,34.7886846,8.77,recorded,2.0,8.77,6.4669533,מבנה רגיל,,1946.0
224,32.0549138,34.7878139,11.48,recorded,3.0,11.48,9.962185,מבנה רגיל,,1973.0
241,32.0553037,34.789616,6.15,recorded,2.0,6.15,4.203846,מבנה רגיל,,1948.0
242,32.0552263,34.7896029,10.55,recorded,2.0,10.55,7.341608,מבנה רגיל,,1966.0
255,32.055353,34.7912465,9.15,recorded,2.0,9.15,5.8500004,מבנה רגיל,,1951.0
256,32.0544014,34.7884425,15.7,recorded,4.0,15.7,13.450977,מבנה רגיל,,1977.0
259,32.0548791,34.7919141,11.2,recorded,2.0,11.2,8.119591,מבנה רגיל,,1954.0
273,32.0546179,34.7869705,13.86,recorded,2.0,13.86,9.75079,מבנה רגיל,,1966.0
274,32.0546786,34.7901485,9.03,recorded,2.0,9.03,8.110001,מבנה רגיל,,1970.0
297,32.0556542,34.7862573,8.15,recorded,2.0,8.15,6.246558,מבנה רגיל,,1948.0
311,32.0490354,34.7954001,6.75,recorded,2.0,6.75,5.345001,מבנה רגיל,,1951.0
314,32.0530948,34.791808,6.03,recorded,1.0,6.03,4.720001,מבנה רגיל,,
328,32.0519284,34.7917357,7.72,recorded,2.0,7.72,8.178082,מבנה ציבור,,1954.0
329,32.051712,34.7917339,10.18,recorded,2.0,10.18,7.7520094,מבנה רגיל,,1949.0
346,32.050482,34.7929341,7.91,recorded,1.0,7.91,4.9327006,מבנה רגיל,,1949.0
347,32.0505489,34.7929363,7.21,recorded,2.0,7.21,5.7286077,מבנה רגיל,,1949.0
361,32.0516085,34.7924183,5.83,recorded,1.0,5.83,3.959999,מבנה רגיל,,1989.0
364,32.0519905,34.7919317,5.07,recorded,1.0,5.07,3.1935356,מבנה רגיל,,1940.0
396,32.0514772,34.7891015,7.8,recorded,1.0,7.8,4.0956807,מבנה רגיל,,1950.0
397,32.052318,34.7901332,12.34,recorded,1.0,12.34,5.1900005,מבנה רגיל,,1955.0
411,32.0530316,34.7877329,11.46,recorded,3.0,11.46,8.990991,מבנה ארעי,,1950.0
414,32.0532998,34.788047,8.33,recorded,2.0,8.33,5.6899986,מבנה רגיל,,1951.0
429,32.0512795,34.7913333,11.83,recorded,2.0,11.83,8.679096,מבנה רגיל,,1949.0
446,32.0494905,34.7908645,14.69,recorded,1.0,14.69,13.105,מבנה רגיל,,0.0
447,32.0496908,34.7902555,10.84,recorded,2.0,10.84,9.42,מבנה רגיל,,1949.0
461,32.0503819,34.7947861,5.53,recorded,1.0,5.53,2.3950005,מבנה רגיל,,1953.0
464,32.0520323,34.7870476,8.59,recorded,2.0,8.59,7.3103275,מבנה רגיל,,1949.0
478,32.0534212,34.7870852,5.22,recorded,1.0,5.22,4.4641266,מבנה רגיל,,1950.0
479,32.0540449,34.78758,12.62,recorded,2.0,12.62,10.6,מבנה רגיל,,1957.0
496,32.0497003,34.7914297,7.48,recorded,1.0,7.48,5.200001,מבנה רגיל,,1949.0
497,32.0498048,34.7914543,5.52,recorded,1.0,5.52,3.1100006,מבנה רגיל,,1949.0
511,32.04981,34.790144,7.09,recorded,1.0,7.09,3.0,מבנה רגיל,,1944.0
514,32.0501469,34.7908986,8.76,recorded,2.0,8.76,7.176279,מבנה רגיל,,1947.0
528,32.0508715,34.7944776,10.94,recorded,3.0,10.94,8.275,מבנה רגיל,,1960.0
529,32.050736,34.7946208,4.58,recorded,1.0,4.58,2.744265,מבנה רגיל,,
546,32.0477883,34.7898323,8.54,recorded,2.0,8.54,7.5709243,מבנה רגיל,,1950.0
547,32.0478016,34.7896999,7.73,recorded,3.0,7.73,10.300221,מבנה ציבור,,
561,32.0488747,34.7950904,1.23,recorded,1.0,1.23,1.5200005,מבנה ארעי,,
1,32.0544782,34.7764586,3.4,recorded,1.0,3.4,4.72875,מבנה רגיל,,
3,32.0545086,34.7761725,9.66,recorded,2.0,9.66,7.770538,מבנה רגיל,,
10,32.0541091,34.7759646,5.27,recorded,1.0,5.27,1.809545,מבנה ארעי,,
12,32.0546182,34.7759856,16.28,recorded,4.0,16.28,13.389666,מבנה רגיל,,1959.0
35,32.0566711,34.7767471,17.98,recorded,4.0,17.98,15.002904,מבנה רגיל,,1950.0
37,32.0568019,34.7792436,13.8,recorded,3.0,13.8,12.127293,מבנה רגיל,,1934.0
42,32.0565304,34.7772049,9.38,recorded,1.0,9.38,4.411176,מבנה רגיל,,1933.0
44,32.0568363,34.7776087,7.14,recorded,2.0,7.14,5.385,מבנה רגיל,,1940.0
67,32.0547771,34.7777137,13.49,recorded,3.0,13.49,11.82142,מבנה רגיל,,1949.0
69,32.054372,34.7769503,8.54,recorded,2.0,8.54,6.5707874,מבנה רגיל,,1952.0
71,32.05513,34.7773913,15.68,recorded,1.0,15.68,3.5550003,מבנה רגיל,,1949.0
76,32.0547116,34.7784637,4.8,recorded,1.0,4.8,2.9860158,מבנה רגיל,,1949.0
78,32.0547903,34.7785201,6.22,recorded,1.0,6.22,4.536126,מבנה רגיל,,1953.0
101,32.0551589,34.778791,5.37,recorded,1.0,5.37,5.375,מבנה רגיל,,1952.0
103,32.0551714,34.7794048,8.21,recorded,1.0,8.21,6.044123,מבנה רגיל,,1955.0
110,32.0540408,34.775715,4.73,recorded,1.0,4.73,3.4000015,מבנה רגיל,,1940.0
112,32.055672,34.7795558,45.07,recorded,7.0,45.07,37.002586,מבנה ציבור,תחנה מרכזית,1959.0
135,32.0536468,34.7770897,12.38,recorded,2.0,12.38,8.289461,מבנה רגיל,,1949.0
137,32.0559909,34.7777031,15.51,recorded,3.0,15.51,11.479158,מבנה רגיל,,1936.0
144,32.0555812,34.7761276,16.16,recorded,4.0,16.16,13.614382,מבנה רגיל,,1959.0
146,32.055652,34.7768124,12.3,recorded,3.0,12.3,9.78215,מבנה רגיל,,1958.0
169,32.0560534,34.7780009,12.43,recorded,3.0,12.43,9.896484,מבנה רגיל,,1938.0
171,32.0561632,34.7772207,5.05,recorded,1.0,5.05,4.2647624,מבנה רגיל,,
178,32.0563471,34.7780557,6.48,recorded,1.0,6.48,7.4756393,מבנה רגיל,,1940.0
201,32.0549473,34.7919185,7.0,recorded,1.0,7.0,5.0550003,מבנה רגיל,,1954.0
203,32.0548656,34.7884085,6.18,recorded,1.0,6.18,4.2697544,מבנה רגיל,,1949.0
210,32.055374,34.7861234,5.26,recorded,1.0,5.26,2.7373726,מבנה רגיל,,1948.0
212,32.0553008,34.7867066,10.4,recorded,2.0,10.4,8.69244,מבנה רגיל,,1948.0
235,32.0550073,34.7897832,9.22,recorded,2.0,9.22,6.595001,מבנה רגיל,,1954.0
237,32.0551215,34.7898227,5.72,recorded,1.0,5.72,3.2399998,מבנה רגיל,,1949.0
244,32.0547959,34.7894234,6.24,recorded,2.0,6.24,5.955,מבנה רגיל,,
246,32.0548144,34.7902484,8.1,recorded,1.0,8.1,6.25,מבנה רגיל,,1954.0
269,32.0550059,34.7924403,9.35,recorded,1.0,9.35,8.376985,מבנה רגיל,,1963.0
564,32.0480416,34.7888145,4.34,recorded,1.0,4.34,2.2000008,מבנה רגיל,,
579,32.0514926,34.7883204,5.62,recorded,1.0,5.62,4.9462495,מבנה רגיל,,
596,32.0488322,34.7934116,8.45,recorded,2.0,8.45,6.306177,מבנה רגיל,,1951.0
597,32.0489434,34.7934232,14.1,recorded,2.0,14.1,11.363536,מבנה רגיל,,1988.0
611,32.0505772,34.7944694,2.77,recorded,1.0,2.77,0.16690354,מבנה ארעי,,
614,32.0481724,34.7914867,4.49,recorded,1.0,4.49,4.8050003,מבנה ארעי,,
615,32.0482249,34.7915424,8.89,recorded,2.0,8.89,7.6124654,מבנה רגיל,,1949.0
628,32.0519773,34.7892581,4.74,recorded,2.0,4.74,6.70921,מבנה ציבור,,
629,32.0507109,34.7889397,6.16,recorded,1.0,6.16,4.119999,מבנה רגיל,,1957.0
646,32.0487093,34.7890122,9.92,recorded,1.0,9.92,8.595001,מבנה רגיל,,1961.0
647,32.0487378,34.7892513,8.17,recorded,1.0,8.17,6.302154,מבנה רגיל,,1958.0
662,32.0518424,34.7907878,6.13,recorded,1.0,6.13,5.5109644,מבנה רגיל,,1949.0
665,32.052322,34.7908063,9.77,recorded,3.0,9.77,8.067105,מבנה רגיל,,1949.0
666,32.0522759,34.7909217,2.46,recorded,2.0,2.46,5.753452,מבנה רגיל,,1949.0
680,32.050681,34.794712,5.02,recorded,1.0,5.02,2.2663834,מבנה רגיל,,1950.0
698,32.0508395,34.7923226,2.75,recorded,1.0,2.75,2.6200008,מבנה ארעי,,
717,32.0513854,34.7893456,9.29,recorded,1.0,9.29,2.6000004,מבנה רגיל,,1934.0
718,32.051328,34.7896475,6.01,recorded,2.0,6.01,5.924486,מבנה רגיל,,1950.0
731,32.0521718,34.7882619,5.43,recorded,1.0,5.43,2.7738237,מבנה רגיל,,1949.0
732,32.0521507,34.7883503,4.7,recorded,1.0,4.7,3.2000008,מבנה רגיל,,1959.0
749,32.0503273,34.789233,8.93,recorded,2.0,8.93,6.5406094,מבנה רגיל,,1962.0
750,32.0501732,34.78935,2.1,recorded,1.0,2.1,3.328864,מבנה רגיל,,1953.0
767,32.0500901,34.7893241,9.03,recorded,2.0,9.03,6.355001,מבנה רגיל,,1953.0
768,32.0500881,34.7894877,8.53,recorded,2.0,8.53,6.5614285,מבנה רגיל,,1954.0
781,32.051869,34.7879863,8.59,recorded,2.0,8.59,5.8233542,מבנה רגיל,,1949.0
782,32.0518857,34.7877746,8.48,recorded,3.0,8.48,7.5027156,מבנה רגיל,,1951.0
785,32.0537995,34.7886199,10.99,recorded,3.0,10.99,8.43031,מבנה רגיל,,1949.0
799,32.0539493,34.7892123,5.1,recorded,3.0,5.1,11.168756,מבנה רגיל,,1949.0
800,32.0539475,34.7891566,7.73,recorded,2.0,7.73,9.661655,מבנה רגיל,,1949.0
817,32.0520857,34.789489,10.58,recorded,1.0,10.58,7.0102243,מבנה ציבור,בית כנסת- בית משיח,1953.0
818,32.0521193,34.7892796,10.48,recorded,3.0,10.48,9.045,מבנה רגיל,,1948.0
832,32.0527321,34.7892828,10.24,recorded,2.0,10.24,7.939124,מבנה רגיל,,1949.0
835,32.0520681,34.7896576,8.89,recorded,2.0,8.89,6.375,מבנה רגיל,,1950.0
2,32.0544691,34.7765397,8.7,recorded,1.0,8.7,5.970001,מבנה רגיל,,
9,32.054012,34.775933,6.19,recorded,1.0,6.19,2.8450012,מבנה ארעי,,
20,32.0538226,34.7773657,15.82,recorded,3.0,15.82,15.650002,מבנה רגיל,,1939.0
27,32.0543945,34.7782817,14.23,recorded,2.0,14.23,10.862408,מבנה רגיל,,1949.0
34,32.0576245,34.7773349,12.72,recorded,3.0,12.72,10.071668,מבנה רגיל,,
45,32.0568296,34.7774154,10.06,recorded,2.0,10.06,8.0657425,מבנה רגיל,,1940.0
52,32.0571679,34.7783852,12.07,recorded,3.0,12.07,13.17,מבנה רגיל,,1938.0
59,32.0573342,34.7778377,17.41,recorded,3.0,17.41,14.950001,מבנה רגיל,,1946.0
70,32.0543584,34.7770375,7.53,recorded,1.0,7.53,4.1899986,מבנה רגיל,,
77,32.0546743,34.7772494,16.4,recorded,1.0,16.4,15.154999,מבנה רגיל,,1951.0
84,32.0549095,34.777282,16.38,recorded,2.0,16.38,9.635,מבנה רגיל,,1948.0
102,32.0551574,34.7791506,3.62,recorded,1.0,3.62,8.24,מבנה רגיל,,2004.0
109,32.054628,34.7757439,9.53,recorded,1.0,9.53,5.8520145,מבנה רגיל,,1950.0
120,32.0539667,34.7762986,15.96,recorded,3.0,15.96,12.158767,מבנה רגיל,,1948.0
127,32.0539139,34.7771528,6.51,recorded,1.0,6.51,4.9712505,מבנה רגיל,,1950.0
134,32.0542513,34.7764753,8.41,recorded,2.0,8.41,7.0599995,מבנה רגיל,,1948.0
145,32.0555915,34.7769819,12.2,recorded,3.0,12.2,9.778209,מבנה רגיל,,1960.0
152,32.0561132,34.7777529,15.24,recorded,4.0,15.24,12.879027,מבנה רגיל,,1962.0
159,32.0539854,34.7757661,9.17,recorded,1.0,9.17,9.435001,מבנה רגיל,,1953.0
170,32.0561834,34.77751,15.99,recorded,1.0,15.99,12.872838,מבנה רגיל,,1938.0
177,32.0554822,34.7785752,5.77,recorded,1.0,5.77,4.2350006,מבנה רגיל,,1949.0
